pt,npindx,u_x1,u_eps2,u_sig2,u_k12,x1,eps2,sig2,k12,train_dist,vlugt_dist,grid_dist,hole_bool,eta_krr,eta_md,eta_md_err
pt1,719,0.5800000000000001,0.5,1.6,0.04999999999999997,0.6000000000000001,0.0,1.0,0.9999999999999998,0.4031128874149275,0.4031128874149275,0.10000000000000009,True,0.8783029576720028,0.5978,0.0114
pt3,271,0.30000000000000004,0.5,1.6,0.04999999999999997,0.25000000000000006,0.0,1.0,0.9999999999999998,0.19999999999999996,0.19999999999999996,5.551115123125783e-17,True,0.4708854327272904,0.4439,0.0098
pt4,773,0.62,0.5,1.2,-0.3,0.65,0.0,0.33333333333333326,0.46153846153846145,0.09999999999999998,0.09999999999999998,0.09999999999999998,False,2.127891716424831,2.1248,0.0372
pt5,574,0.45999999999999996,1.0,1.6,0.0,0.44999999999999996,1.0,1.0,0.9230769230769229,0.050000000000000044,0.050000000000000044,0.050000000000000044,False,2.602300651863438,2.6353,0.0472
