pt,npindx,u_x1,u_eps2,u_sig2,u_k12,x1,eps2,sig2,k12,train_dist,vlugt_dist,grid_dist,hole_bool,eta_krr,eta_md,eta_md_err
pt1,60,0.1,0.5,1.6,-0.47,0.0,0.0,1.0,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,False,0.42114604757531904,0.4278,0.0123
pt2,849,0.5,1.0,1.0,-0.145,0.5,1.0,0.0,0.6999999999999998,0.22307692307692306,0.22307692307692306,0.22307692307692306,False,5.028862373830238,5.1145,0.0884
pt3,759,0.5,0.6,1.6,0.01749999999999994,0.5,0.19999999999999996,1.0,0.9499999999999997,0.2514455250566331,0.2514455250566331,0.026923076923076827,True,0.9978326176086316,1.0072,0.0232
pt4,808,0.5,0.8,1.4,-0.24249999999999997,0.5,0.6000000000000001,0.6666666666666665,0.5499999999999999,0.08846153846153848,0.08846153846153848,0.08846153846153848,False,2.814228889375844,2.8339,0.0608
pt5,210,0.1,0.8,1.6,-0.5349999999999999,0.0,0.6000000000000001,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,False,1.5121784345503486,1.5041,0.0363
