,pt,npindx,u_x1,u_eps2,u_sig2,u_k12,x1,eps2,sig2,k12,train_dist,vlugt_dist,grid_dist,hole_bool,eta_krr,eta_md,eta_md_err,BoxLength,num_particles,zeta,density
0,pt1,719,0.5800000000000001,0.5,1.6,0.0499999999999999,0.6000000000000001,0.0,1.0,0.9999999999999998,0.4031128874149275,0.4031128874149275,0.1,True,0.8783029576720028,0.5978,0.0114,19.2295,2000,0.33877620399530795,0.28127168811866987
8,pt1,3,0.1,0.5,1.03,0.0499999999999999,0.0,0.0,0.05,0.9999999999999998,0.2061552812808829,0.2061552812808829,0.05,True,0.4394500035738517,0.1472,0.004,22.3893,2000,0.1010922048437969,0.178200307394031
13,pt2,849,0.5,1.0,1.0,-0.145,0.5,1.0,0.0,0.6999999999999998,0.223076923076923,0.223076923076923,0.223076923076923,False,5.028862373830238,5.1145,0.0884,13.1799,2000,0.4573959054560386,0.8735618316398612
14,pt3,759,0.5,0.6,1.6,0.0174999999999999,0.5,0.1999999999999999,1.0,0.9499999999999996,0.2514455250566331,0.2514455250566331,0.0269230769230768,True,0.9978326176086316,1.0072,0.0232,19.0972,2000,0.3831059989356045,0.2871579911715534
