,X_1,epsilon_2,sigma_2,mass_2,k_12,BoxLength,Dself_1,Dself_1_err,Dself_2,Dself_2_err,Viscosity,Viscosity_err,num_particles,visc_rel_err,zeta
36,0.1,0.8,1.2,1.728,-0.6,10.0319,0.03381,7e-05,0.0337,3e-05,2.228,0.042,500,1.8850987432675044,0.42920969294846434
37,0.1,0.6,1.2,1.728,0.05,10.801,0.11252,0.00027,0.09714,0.0001,0.718,0.004,500,0.5571030640668524,0.34389606468115125
38,0.1,0.6,1.2,1.728,0.0,10.7737,0.10835,0.00022,0.09501,8e-05,0.731,0.004,500,0.5471956224350205,0.34651693929788463
39,0.1,0.6,1.2,1.728,-0.3,10.6078,0.08501,0.00017,0.08162,7e-05,0.87,0.013,500,1.4942528735632183,0.36303051814780724
40,0.1,0.6,1.2,1.728,-0.6,10.4735,0.06769,0.00013,0.07069,8e-05,1.007,0.005,500,0.496524329692155,0.3771756028610399
41,0.1,1.0,1.0,1.0,0.05,8.3705,0.02559,4e-05,0.02511,3e-05,3.715,0.05,500,1.3458950201884254,0.44638996653060453
42,0.1,1.0,1.0,1.0,0.0,8.3617,0.02429,8e-05,0.0243,3e-05,3.838,0.05,500,1.3027618551328817,0.44780081622474
43,0.1,1.0,1.0,1.0,-0.3,8.3152,0.01796,5e-05,0.02009,4e-05,4.788,0.054,500,1.1278195488721805,0.45535543882200447
44,0.1,1.0,1.0,1.0,-0.6,8.2728,0.01308,2e-05,0.01642,2e-05,6.134,0.126,500,2.0541245516791653,0.46239278754179985
45,0.1,0.8,1.0,1.0,0.05,8.5894,0.04645,6e-05,0.04796,3e-05,1.856,0.022,500,1.1853448275862066,0.41312373118498696
46,0.1,0.8,1.0,1.0,0.0,8.5762,0.04458,6e-05,0.0466,3e-05,1.925,0.026,500,1.3506493506493507,0.4150342384719236
47,0.1,0.8,1.0,1.0,-0.3,8.502,0.0342,6e-05,0.03924,5e-05,2.332,0.027,500,1.1578044596912522,0.4259958073058449
48,0.1,0.8,1.0,1.0,-0.6,8.4363,0.02587,8e-05,0.03287,3e-05,2.847,0.029,500,1.018616087109238,0.4360261952705533
49,0.1,0.6,1.0,1.0,0.05,9.087,0.09393,0.00024,0.10275,6e-05,0.822,0.006,500,0.7299270072992701,0.3489048789447106
50,0.1,0.6,1.0,1.0,0.0,9.0546,0.08974,0.00016,0.09929,6e-05,0.855,0.007,500,0.8187134502923977,0.35266374753834734
51,0.1,0.6,1.0,1.0,-0.3,8.8961,0.0692,0.0002,0.08243,5e-05,1.058,0.017,500,1.606805293005671,0.3718516032420347
52,0.1,0.6,1.0,1.0,-0.6,8.7683,0.05372,3e-05,0.06905,4e-05,1.276,0.014,500,1.0971786833855801,0.38834920944200285
53,0.3,1.0,1.6,4.096,0.05,12.3505,0.04775,0.00011,0.0227,5e-05,2.404,0.033,500,1.372712146422629,0.44013965161208274
54,0.3,1.0,1.6,4.096,0.0,12.3274,0.04506,0.0001,0.02167,3e-05,2.574,0.028,500,1.087801087801088,0.44261859038855206
55,0.3,1.0,1.6,4.096,-0.3,12.1975,0.0308,8e-05,0.01599,2e-05,3.46,0.054,500,1.5606936416184973,0.45691102245373744
56,0.3,1.0,1.6,4.096,-0.6,12.0836,0.02027,3e-05,0.0113,3e-05,5.099,0.115,500,2.25534418513434,0.46995372235025457
