pt,npindx,u_x1,u_eps2,u_sig2,u_k12,x1,eps2,sig2,k12,train_dist,vlugt_dist,grid_dist,hole_bool,eta_krr,eta_md,eta_md_err
pt1,127,0.1,0.7,1.6,0.04999999999999997,0.0,0.3999999999999999,1.0,0.9999999999999998,0.19999999999999996,0.19999999999999996,0.19999999999999996,False,0.8669553882538116,0.8587,0.0245
pt2,255,0.1,0.9,1.6,0.04999999999999997,0.0,0.8,1.0,0.9999999999999998,0.19999999999999996,0.19999999999999996,0.19999999999999996,False,1.7148989130998393,1.7108,0.0351
pt4,303,0.1,0.975,1.6,0.04999999999999997,0.0,0.95,1.0,0.9999999999999998,0.050000000000000044,0.050000000000000044,0.050000000000000044,False,2.2333495637483893,2.2179,0.0376
pt5,478,0.3,0.775,1.6,0.0,0.25,0.55,1.0,0.9230769230769229,0.050000000000000044,0.050000000000000044,0.050000000000000044,False,1.322040223683598,1.3412,0.0373
