pt,npindx,u_x1,u_eps2,u_sig2,u_k12,x1,eps2,sig2,k12,train_dist,vlugt_dist,grid_dist,hole_bool,eta_krr,eta_md,eta_md_err
pt1,3,0.1,0.5,1.03,0.04999999999999997,0.0,0.0,0.050000000000000044,0.9999999999999998,0.20615528128088298,0.20615528128088298,0.050000000000000044,True,0.4394500035738517,0.1472,0.0040
pt3,112,0.1,0.6,1.3,-0.6,0.0,0.19999999999999996,0.5,0.0,0.16666666666666652,0.16666666666666652,0.16666666666666652,False,0.9134370597522393,0.9242,0.0205
pt4,478,0.3,0.8,1.18,0.0,0.25,0.6000000000000001,0.2999999999999998,0.9230769230769229,0.03333333333333344,0.03333333333333344,0.03333333333333344,False,1.9387386848766799,1.9215,0.0572
pt5,1138,0.7,0.8,1.57,0.0,0.75,0.6000000000000001,0.9500000000000002,0.9230769230769229,0.04999999999999982,0.04999999999999982,0.04999999999999982,False,2.189437277248522,2.1457,0.0448
